username,text,label,binary_label,tokenized_comment
rvnggav,RIP AKAL SEHAT!!! LU COWO DENGAN BANGGA NYA MENODAI AGAMA LU SENDIRI!!!,['Flaming'],Yes,"['rip', 'akal', 'sehat', 'kamu', 'cowok', 'dengan', 'bangga', 'nya', 'noda', 'agama', 'kamu', 'sendiri']"
m.f.drebel,Kok toku bgt komuk nya kayak umur 39,['Body Shaming'],Yes,"['kok', 'toku', 'sangat', 'muka', 'nya', 'seperti', 'usia']"
tasyaasha21,Jauhlah ya kalo sama cipa mah 🤭,['Body Shaming'],Yes,"['jauh', 'iya', 'jika', 'sama', 'syifa', 'mah']"
secondunk,"gasudi telinga gua denger lagu lu,kon.",['Harassment'],Yes,"['gasudi', 'telinga', 'aku', 'dengar', 'lagu', 'lukon']"
martha_sheyla,Owh ini yg musisi lagunya ga boleh d pakai yaaa...hmmmm,['Denigration'],Yes,"['oh', 'ini', 'yang', 'musisi', 'lagu', 'tidak', 'boleh', 'ada', 'pakai', 'yaahmm']"
anitanur.wulandari,Baru denger lagunya dan sumpah gak enak bgt didenger🤮,"['Flaming', 'Harassment']",Yes,"['baru', 'dengar', 'lagu', 'dan', 'sumpah', 'tidak', 'enak', 'sangat', 'dengar']"
queenshade9,"Woi!!!! Gara2 perbuatan lu, org lain kena imbas 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎",['Harassment'],Yes,"['woy', 'gara', 'buat', 'kamu', 'orang', 'lain', 'kenal', 'imbas']"
dicky.prasetyo.315865,Ga mungkin kalo belom d e*e,"['Denigration', 'Harassment']",Yes,"['tidak', 'mungkin', 'jika', 'belum', 'ada', 'eek']"
larasati5372,Udh puas blum jadi pelakor d hubungn orng!!! Skrng karier yg Lo banggain klo ga setara sma apa yg Lo perbuat ga ada apa2ny klo ga hancur ya kemakan sma apa yg lo perbuat bsok2 klo mw jadi pelakor jangan cuma gatel tpi harus lebih cantik dri pasangan asli mreka!,"['Denigration', 'Flaming']",Yes,"['sudah', 'puas', 'belum', 'jadi', 'pelakor', 'ada', 'hubung', 'orang', 'sekarang', 'karir', 'yang', 'kamu', 'bangga', 'kalo', 'tidak', 'tara', 'sama', 'apa', 'yang', 'kamu', 'buat', 'tidak', 'ada', 'apa', 'kalo', 'tidak', 'hancur', 'iya', 'makan', 'sama', 'apa', 'yang', 'kamu', 'buat', 'besok', 'kalo', 'mau', 'jadi', 'pelakor', 'jangan', 'hanya', 'gatel', 'tapi', 'harus', 'lebih', 'cantik', 'dari', 'pasang', 'asli', 'mereka']"
kopikitakita,"Panik gak tuh, di hujat se indonesia raya🤏🏻🙃",['Harassment'],Yes,"['panik', 'tidak', 'tuh', 'di', 'hujat', 'se', 'indonesia', 'raya']"
seccplinz_,"Iblis itu penghuni surga pada awalnya. Kemudian dia di keluarkan dari surga hanya karena satu perkara yaitu ""SOMBONG""",['Flaming'],Yes,"['iblis', 'itu', 'huni', 'surga', 'pada', 'awal', 'kemudian', 'dia', 'di', 'keluar', 'dari', 'surga', 'hanya', 'karena', 'satu', 'perkara', 'yaitu', 'sombong']"
rizki.rhmdlla,"sitha makin gede aja, pantes aku ga kebagian😭😂",['Body Shaming'],Yes,"['sitha', 'makin', 'besar', 'saja', 'pantas', 'aku', 'tidak', 'bagi']"
im.disastterr,"Bisa2nya resky pindah ke sini, gua trawang trawang cantikan syifa dri segala sisi😂",['Body Shaming'],Yes,"['bisa', 'rizky', 'pindah', 'ke', 'di', 'sini', 'aku', 'terawang', 'terawang', 'cantik', 'syifa', 'dari', 'segala', 'samping']"
shafiyyy57,Dosma lu ga niat ngerebut el lagi?,['Denigration'],Yes,"['dosma', 'kamu', 'tidak', 'niat', 'rebut', 'el', 'lagi']"
insan3426,Yaudah. Siap2 redup karir lu 😂,['Harassment'],Yes,"['yasudah', 'siap', 'redup', 'karir', 'kamu']"
devannptra7,Enak bgt sayang ah,['Harassment'],Yes,"['enak', 'sangat', 'sayang', 'ah']"
daniifc99,Apa nih rame2 apa bener ya Raffi Ahmad pencucian uang bantu jawab donk❗❗❗❗,['Denigration'],Yes,"['apa', 'ini', 'ramai', 'apa', 'benar', 'iya', 'raffi', 'ahmad', 'cuci', 'uang', 'bantu', 'jawab', 'dong']"
rsk_nndila,Dua duanya udh muncul sifat aslinya yaa,['Denigration'],Yes,"['dua', 'dua', 'sudah', 'muncul', 'sifat', 'asli', 'iya']"
leanardanapr,G A K S U D I,['Harassment'],Yes,"['tidak', 'a', 'kak', 'si', 'untuk', 'ada', 'i']"
rani_damayanti08,ka priliy agak kurusan.,['Body Shaming'],Yes,"['kak', 'prilly', 'agak', 'kurus']"
djoriet,cari aman lu fi raffi,['Denigration'],Yes,"['cari', 'aman', 'kamu', 'di', 'raffi']"
ayuuu9.7,Amit amit laki2 model gini 👎 mikir dongg lo itu laki2 badan lo aja kekar kaya kuli sadarrrrrrr,"['Body Shaming', 'Flaming']",Yes,"['amit', 'amit', 'pria', 'model', 'begini', 'mikir', 'dong', 'kamu', 'itu', 'pria', 'tubuh', 'kamu', 'saja', 'kekar', 'seperti', 'kuli', 'sadar']"
rita130303,Bangga lokal kalau Nagita aja senengnya pake brand luar asal aneh nya 😂,['Denigration'],Yes,"['bangga', 'lokal', 'kalau', 'nagita', 'saja', 'neng', 'pakai', 'merek', 'luar', 'asal', 'aneh', 'nya']"
wulandarichristy,Kl nyci uang pke detergen merk apa pak?,['Denigration'],Yes,"['kalau', 'cuci', 'uang', 'pakai', 'deterjen', 'merk', 'apa', 'pak']"
anjaswraa,🤣 seniman papan bawah aja blagunya setengah modar,['Flaming'],Yes,"['seniman', 'papan', 'bawah', 'saja', 'belagunya', 'tengah', 'modar']"
luqmanpuji,Orang klo baru naek udah sombong amat pasti jatohnya juga cepet,['Harassment'],Yes,"['orang', 'kalo', 'baru', 'naik', 'sudah', 'sombong', 'sangat', 'pasti', 'jatuh', 'juga', 'cepat']"
lucy_lucunya,Money laundry lg bertugas,['Denigration'],Yes,"['uang', 'cuci', 'lagi', 'tugas']"
gellajoni,Oh LGI rame nih money laundry,['Denigration'],Yes,"['oh', 'lagi', 'ramai', 'ini', 'uang', 'cuci']"
apriel_yasmin,"blunder fatal, mendingan denger lagu ebit g ade",['Flaming'],Yes,"['blunder', 'fatal', 'mending', 'dengar', 'lagu', 'ebit', 'tidak', 'adek']"
dea.475,Pril jangan terlalu kurus krna km punya wajah panjang JD agak aneh kalo terlalu kurus,['Body Shaming'],Yes,"['prilly', 'jangan', 'terlalu', 'kurus', 'karena', 'kamu', 'punya', 'wajah', 'panjang', 'jadi', 'agak', 'aneh', 'jika', 'terlalu', 'kurus']"
novie966,Knp kurus bgt skrng😭,['Body Shaming'],Yes,"['kenapa', 'kurus', 'sangat', 'sekarang']"
nhur_syafitri96,Perang dunia sinetron cocok dgn dunia nyata jadi selingkuhan😂,['Denigration'],Yes,"['perang', 'dunia', 'sinetron', 'cocok', 'dengan', 'dunia', 'nyata', 'jadi', 'selingkuh']"
dedik_kur,"wkwkkw baru 1 lagu naik, udah ngerasa kayak Nirvana lu bang bang",['Denigration'],Yes,"['wkwk', 'baru', 'lagu', 'naik', 'sudah', 'rasa', 'seperti', 'nirwana', 'kamu', 'bang', 'bang']"
dimas_rizqy,Cocok lu bang dpt award musisi TERKOCAK.. Baru tenar tpi uda arogan.. 🤣,['Flaming'],Yes,"['cocok', 'kamu', 'bang', 'dapat', 'hadiah', 'musisi', 'kocak', 'baru', 'kenal', 'tapi', 'sudah', 'arogan']"
damarmurti,"Bisa-bisanya seniman musik, pilih pilih pendengar sampai berkata tidak Sudi, jika lagu anda tidak ingin didengar oranglain jangan dipublish dan stop jadi penyanyi, sangat tidak pantas seorang penyanyi berkomentar kepada pendengarnya seperti itu, saya juga jadi tidak Sudi telinga saya mendengarkan lagu anda.",['Harassment'],Yes,"['bisa', 'bisa', 'seniman', 'musik', 'pilih', 'pilih', 'dengar', 'sampai', 'kata', 'tidak', 'sudi', 'jika', 'lagu', 'anda', 'tidak', 'ingin', 'dengar', 'orang', 'lain', 'jangan', 'publikasi', 'dan', 'henti', 'jadi', 'nyanyi', 'sangat', 'tidak', 'pantas', 'orang', 'nyanyi', 'komentar', 'kepada', 'dengar', 'seperti', 'itu', 'saya', 'juga', 'jadi', 'tidak', 'sudi', 'telinga', 'saya', 'dengar', 'lagu', 'anda']"
tataoktaa_,maaf mbak anya pake cawet ga🙏🏻,['Harassment'],Yes,"['maaf', 'kak', 'anya', 'pakai', 'celana', 'dalam', 'tidak']"
reniasitohang,Mending dengerin lagu koplo aja lahhh,['Harassment'],Yes,"['lebih', 'baik', 'dengar', 'lagu', 'koplo', 'saja', 'lah']"
hf.ran_,Jdi kang cilok aja mas,['Harassment'],Yes,"['jadi', 'kang', 'cilok', 'saja', 'mas']"
delanareno12345,Woow lg heboh nih ada artis papan atas yg rajin nyuci .. nyuci uang katanay 😂,['Denigration'],Yes,"['wow', 'lagi', 'heboh', 'ini', 'ada', 'artis', 'papan', 'atas', 'yang', 'rajin', 'cuci', 'cuci', 'uang', 'kata']"
januarparadita21pwt,Elah anak kemarin sore lagaknya kek tae pfftt,['Flaming'],Yes,"['yah', 'anak', 'kemarin', 'sore', 'lagak', 'seperti', 'tahi', 'pft']"
astika_febriyanti22,kalo gada lagu lo yg terkenal juga org org pada gatau siapa lo,['Harassment'],Yes,"['jika', 'tidak', 'ada', 'lagu', 'kamu', 'yang', 'kenal', 'juga', 'orang', 'orang', 'pada', 'gatau', 'siapa', 'kamu']"
eviatmi_amsari,"Bikin lagu ‘’ Ga Sudi’’ dong wkwk biar yg denger lagu lu ga pada sudi buat dengerinnya bang lu baru netes di industri musik jgn belagu jgn angkuh yg lu senggol orangnya lagi hamil , sekelas Judika aja ga pernah tuh angkuh kaya lo",['Flaming'],Yes,"['buat', 'lagu', 'tidak', 'sudi', 'dong', 'wkwk', 'biar', 'yang', 'dengar', 'lagu', 'kamu', 'tidak', 'pada', 'sudi', 'buat', 'dengar', 'bang', 'kamu', 'baru', 'tetes', 'di', 'industri', 'musik', 'jangan', 'belagu', 'jangan', 'angkuh', 'yang', 'kamu', 'senggol', 'orang', 'lagi', 'hamil', 'kelas', 'judika', 'saja', 'tidak', 'pernah', 'tuh', 'angkuh', 'seperti', 'kamu']"
lailie_ns,"Lu tau ga si lu tu kodratnya cowo, ngapain pake cadar segala secara langsung lu ninstain agama Islam astaghfirullah pikiran lu dimana si di diemin malah ngelunjak","['Flaming', 'Harassment']",Yes,"['kamu', 'tahu', 'tidak', 'sih', 'kamu', 'itu', 'kodrat', 'cowok', 'kapai', 'pakai', 'cadar', 'segala', 'cara', 'langsung', 'kamu', 'ninstakan', 'agama', 'islam', 'astaghfirullah', 'pikir', 'kamu', 'mana', 'sih', 'di', 'diam', 'lebih', 'tepat', 'ngelunjak']"
midnightcries.wb,"gue yang awalnya bener2 team Rizky Cipa trs liat berita2 yang beredar ternyata ada kaitannya sm lo, gue langsung shock dan gue kecewa bgt asli! kenapa si hrs merusak hubungan pasangan favorite gue😭",['Denigration'],Yes,"['aku', 'yang', 'awal', 'benar', 'tim', 'rizky', 'syifa', 'terus', 'lihat', 'berita', 'yang', 'edar', 'nyata', 'ada', 'kait', 'sama', 'kamu', 'aku', 'langsung', 'kejut', 'dan', 'aku', 'kecewa', 'sangat', 'asli', 'mengapa', 'sih', 'harus', 'rusak', 'hubung', 'pasang', 'favorit', 'aku']"
enyoollovv,Beneran nih Raffi penampung pencucian uang? Wahh parah sih kalo bener.,['Denigration'],Yes,"['benar', 'ini', 'raffi', 'tampung', 'cuci', 'uang', 'wah', 'parah', 'sih', 'jika', 'benar']"
niluputuhutagalung,Pake sempak ga sihh 🙄,['Harassment'],Yes,"['pakai', 'celana', 'dalam', 'tidak', 'sih']"
sszwithhflowerrz,tuaaa amattt muka nya,['Body Shaming'],Yes,"['tuaa', 'amat', 'wajah', 'nya']"
virrda27,hahah berarti aku triplek 😭😭,['Body Shaming'],Yes,"['haha', 'arti', 'aku', 'triplek']"
pradiptayogaa,Kumpul sma penista agama ? Isin ah,"['Denigration', 'Flaming']",Yes,"['kumpul', 'sama', 'nista', 'agama', 'malu', 'ah']"
auliansistari,"Kmren berita salsa selingkuh sm rizkyy cpt banget klarifikasi, giliran dia di gosipin diemm baeee kyk tikus jatuh ke beras🤣",['Denigration'],Yes,"['kemarin', 'berita', 'salsa', 'selingkuh', 'sama', 'rizky', 'cepat', 'sangat', 'klarifikasi', 'gilir', 'dia', 'di', 'gosip', 'diam', 'baee', 'seperti', 'tikus', 'jatuh', 'ke', 'beras']"
eghyaudri,Mungkin Rizky nazar lebih suka yg brekelee🙏,['Body Shaming'],Yes,"['mungkin', 'rizky', 'nazar', 'lebih', 'suka', 'yang', 'brekelee']"
veeyrrabae,"Peran namira di bawah kedunia nyata kejar kak denis sampai dapat,...si rizky juga sampai oleng ningali cipa demi si dosma",['Denigration'],Yes,"['peran', 'namira', 'di', 'bawah', 'dunia', 'nyata', 'kejar', 'kak', 'den', 'sampai', 'dapat', 'rizky', 'juga', 'sampai', 'goyah', 'lihat', 'syifa', 'demi', 'sih', 'dosma']"
hoer_99,Wkwkwk... Fans gorong2 pada ngumpul disini rupanya... 🤣,['Denigration'],Yes,"['wkwk', 'fan', 'belum', 'pada', 'kumpul', 'sini', 'rupa']"
crysstarla,Berasa paling terkenal lu bangsat,"['Flaming', 'Harassment']",Yes,"['asa', 'paling', 'kenal', 'kamu', 'bangsat']"
imkiiygt,"Kesiniii karena ga sudi🤣🤣 bang, bang..beneran ini gw baru tau lagu Lo dan tampang Lo bang... Gosah sombong angkuh2 bgt JD orang bang... Ntar Lo nyungsep, meweekk Lo bang🤣🤣","['Flaming', 'Harassment']",Yes,"['kesini', 'karena', 'tidak', 'sudi', 'bang', 'bang', 'beneran', 'ini', 'aku', 'baru', 'tahu', 'lagu', 'kamu', 'dan', 'wajah', 'kamu', 'bang', 'tidak', 'perlu', 'sombong', 'angkuh', 'sangat', 'jadi', 'orang', 'bang', 'nanti', 'kamu', 'nyungsep', 'melek', 'kamu', 'bang']"
nazra.rich,Harusnya jangan kekantor Raffi yg Uda punya nama besar. Ada kepentingan apa juga kesana klo gak kampanye jg. Tuuh banyak UKM yg merintis knp gak kesana live shoping bareng UKM kecil.. ada kepentingan apa ke kantor rafii yg Uda terkenal sultan??? Ada apa dibalik semuanya?? Knp pas ada acara mau pemilu ??,['Denigration'],Yes,"['harus', 'jangan', 'kantor', 'raffi', 'yang', 'sudah', 'punya', 'nama', 'besar', 'ada', 'penting', 'apa', 'juga', 'kesana', 'kalo', 'tidak', 'kampanye', 'juga', 'tuh', 'banyak', 'ukm', 'yang', 'rintis', 'kenapa', 'tidak', 'kesana', 'hidup', 'belanja', 'bareng', 'ukm', 'kecil', 'ada', 'penting', 'apa', 'ke', 'kantor', 'rafi', 'yang', 'sudah', 'kenal', 'sultan', 'ada', 'apa', 'balik', 'semua', 'kenapa', 'pas', 'ada', 'acara', 'mau', 'milu']"
vikarelchapo,"yg tengah yg bilang sholat atahiatul pake dua jari tuh , penistaan tuh ngmng gitu !",['Flaming'],Yes,"['yang', 'tengah', 'yang', 'bilang', 'shalat', 'attahiatul', 'pakai', 'dua', 'jari', 'tuh', 'nista', 'tuh', 'bicara', 'begitu']"
alfinrizkipermana,"Sumpah aku baru tau ada lagu ini🙏😢,",['Denigration'],Yes,"['sumpah', 'aku', 'baru', 'tahu', 'ada', 'lagu', 'ini']"
fbynarika__,"Sumpah bang gua ga kenal lu, dan gua ga sudi juga denger lagu lu 😭 🙏",['Harassment'],Yes,"['sumpah', 'bang', 'aku', 'tidak', 'kenal', 'kamu', 'dan', 'aku', 'tidak', 'sudi', 'juga', 'dengar', 'lagu', 'kamu']"
tresella2021,"Abis dari Celia, Syifa....GK bisa nyari yg cakepan dikit lu... Kiii","['Body Shaming', 'Denigration']",Yes,"['habis', 'dari', 'celia', 'syifa', 'tidak', 'bisa', 'cari', 'yang', 'cakep', 'dikit', 'kamu', 'kii']"
sfrhyra,doz.. makasih yaaaaa dah ambil rizky.. hahahaha tengkyu bgt akhirnya cipa bisa tersadarkan dan bisa dapet yg sesuai sama value nya cipa ❤️,['Denigration'],Yes,"['dosma', 'terima', 'kasih', 'iya', 'deh', 'ambil', 'rizky', 'hahaha', 'terima', 'kasih', 'sangat', 'akhir', 'syifa', 'bisa', 'sadar', 'dan', 'bisa', 'dapat', 'yang', 'sesuai', 'sama', 'nilai', 'nya', 'syifa']"
adiralin95,Baru gtuh ajh blagu luh..!!! Jgn SOK KEREN luh.. mikir bodoh sebelum bertindak..!! Cukup Allah sebagai pembalas bagi kaum2 orng SoMBOnG seperti elu..!!,['Flaming'],Yes,"['baru', 'begitu', 'saja', 'belagu', 'kamu', 'jangan', 'sok', 'keren', 'kamu', 'mikir', 'bodoh', 'belum', 'tindak', 'cukup', 'allah', 'bagai', 'balas', 'untuk', 'kaum', 'orang', 'sombong', 'seperti', 'kamu']"
meyydaa_00,Gimana bastian ga tergila gila ya org mantep gitu😭,"['Denigration', 'Harassment']",Yes,"['bagaimana', 'bastian', 'tidak', 'gila', 'gila', 'iya', 'orang', 'mantap', 'begitu']"
isrinasyifah,Dos wedos eh dosma makasih ya sudah ngrebut Rizky.. soalnya aku seneng kalo cipa pacaran sama el😍,"['Body Shaming', 'Denigration']",Yes,"['dos', 'kambing', 'eh', 'dosma', 'terima', 'kasih', 'iya', 'sudah', 'rebut', 'rizky', 'soal', 'aku', 'senang', 'jika', 'syifa', 'pacar', 'sama', 'el']"
ranggehnurfakhih,Dihh Ogah banget dengerin lagu lu bang bikin sesek kupinggg!!,['Harassment'],Yes,"['dih', 'enggan', 'sangat', 'dengar', 'lagu', 'kamu', 'bang', 'buat', 'sek', 'kupingg']"
arisk89,LAGU TAEKK KAKEAN POLA COK,['Flaming'],Yes,"['lagu', 'tahi', 'banyak', 'pola', 'cok']"
bang_pakpahan2,"Wandaa tetap ada batasan loh ya..meski bensyiong ttp tau kodratt jg say..,hehe",['Flaming'],Yes,"['wanda', 'tetap', 'ada', 'batas', 'loh', 'yameski', 'bencong', 'tetap', 'tahu', 'kodrat', 'juga', 'bilang', 'hehe']"
irumayul,"Rencana kalau ada konser mu di kota ku, aku mau nonton. Dan ternyata orangnya sombong ga jadi ku batalkan rencanaku",['Harassment'],Yes,"['rencana', 'kalau', 'ada', 'konser', 'mu', 'di', 'kota', 'ku', 'aku', 'mau', 'tonton', 'dan', 'nyata', 'orang', 'sombong', 'tidak', 'jadi', 'ku', 'batal', 'rencana']"
litlethaa,tau gaj sih temen gw tuh pernah rebut cowo gua sekarang eh dia janda dua kali menyala karma🔥🤣,['Denigration'],Yes,"['tahu', 'tidak', 'sih', 'teman', 'aku', 'tuh', 'pernah', 'rebut', 'cowok', 'aku', 'sekarang', 'eh', 'dia', 'janda', 'dua', 'kali', 'nyala', 'karma']"
oskar_ama08,Berasa artis legend aja lo .aaa pinggiran bisul njs!,['Flaming'],Yes,"['asa', 'artis', 'legenda', 'saja', 'kamu', 'aa', 'pinggir', 'bisul', 'najis']"
hendrikojanu_,Centang biru aja blm uda belagu,['Flaming'],Yes,"['centang', 'biru', 'saja', 'belum', 'sudah', 'belagu']"
lookalike_youu,Album ke berapa ni? Udah manggung sampe luar angkassa ya? Makanya berasa tinggi banget ga napak bumi🤣,['Denigration'],Yes,"['album', 'ke', 'berapa', 'ini', 'sudah', 'tampil', 'sampai', 'luar', 'angkasa', 'iya', 'makanya', 'asa', 'tinggi', 'sangat', 'tidak', 'tapak', 'bumi']"
mrtsoleha_,Ayooo semuaa Unfollow. Gak faedah banget lagunya. Mending baguss. Gak enak di dengerrr. 🤯🤯🤯🤯 Serasa mledak otak gua. Awal nya gak tau. Gara2 sekelas Kaesang pake lagu dia gua jadi tau. Orang angkuh sombong. Gak pantes jadi apapun!!!!🔥,"['Flaming', 'Harassment']",Yes,"['ayo', 'semua', 'henti', 'ikut', 'tidak', 'faedah', 'sangat', 'lagu', 'lebih', 'baik', 'bagus', 'tidak', 'enak', 'di', 'dengerr', 'asa', 'ledak', 'otak', 'aku', 'awal', 'nya', 'tidak', 'tahu', 'gara', 'kelas', 'kaesang', 'pakai', 'lagu', 'dia', 'aku', 'jadi', 'tahu', 'orang', 'angkuh', 'sombong', 'tidak', 'pantas', 'jadi', 'apa']"
tasya.ananda99,owh ini si taik yang laginya gak boleh dipake?? 😂😂,['Flaming'],Yes,"['oh', 'ini', 'sih', 'tahi', 'yang', 'lagi', 'tidak', 'boleh', 'pakai']"
febriadipancasena,"jualan cilok aja ,, gausah jadi penyanyi kalo masih pilih"" org buat denger lagu lu",['Harassment'],Yes,"['jual', 'cilok', 'saja', 'tidak', 'usah', 'jadi', 'nyanyi', 'jika', 'masih', 'pilih', 'orang', 'buat', 'dengar', 'lagu', 'kamu']"
callme.oks,bisa ni di pakek sampai late game 😂,['Harassment'],Yes,"['bisa', 'ini', 'di', 'pakai', 'sampai', 'lambat', 'main']"
donwsthy,"sakit ni org, boro” ada klarifikasi minta maaf sama kelakuan yg dibuat🤭",['Flaming'],Yes,"['sakit', 'ini', 'orang', 'jangan', 'ada', 'klarifikasi', 'minta', 'maaf', 'sama', 'laku', 'yang', 'buat']"
ivan_xiosan,Si paling ok . Sekelas dewa 19 aja GK ribet bro. Sadar diri aja dh.,['Denigration'],Yes,"['sih', 'paling', 'oke', 'kelas', 'dewa', 'saja', 'tidak', 'ribet', 'bro', 'sadar', 'diri', 'saja', 'deh']"
azhar.cakrawinata,Jadi jijik gw sm lagu lo,['Harassment'],Yes,"['jadi', 'jijik', 'aku', 'sama', 'lagu', 'kamu']"
dfrdand,"Asalnya suka bgt lagu dia, tp skrg ga Sudi bgt denger lagu nya. Muakk",['Harassment'],Yes,"['asal', 'suka', 'sangat', 'lagu', 'dia', 'tapi', 'sekarang', 'tidak', 'sudi', 'sangat', 'dengar', 'lagu', 'nya', 'muak']"
jupellendriaa,Lu kalau ga mau di dengarin atau di pake lagu lu tinggal lu tarik lagunya dari instagram😂 pansos bgt nie trik marketing supaya lagunya naik🤣🤣🤣🤣🤣,['Denigration'],Yes,"['kamu', 'kalau', 'tidak', 'mau', 'di', 'dengar', 'atau', 'di', 'pakai', 'lagu', 'kamu', 'tinggal', 'kamu', 'tarik', 'lagu', 'dari', 'instagram', 'panjat', 'sosial', 'sangat', 'ini', 'trik', 'pasar', 'supaya', 'lagu', 'naik']"
elsatrianaa15,Mari kita unfollow dia guys.. jgn kasih panggung lg ni orang.,['Harassment'],Yes,"['mari', 'kita', 'henti', 'ikut', 'dia', 'guys', 'jangan', 'kasih', 'panggung', 'lagi', 'ini', 'orang']"
leni_alvionita,A' .. bisnis laundry apa kabar,['Denigration'],Yes,"['a', 'bisnis', 'cuci', 'apa', 'kabar']"
hasun.ningrat,Chahaha berlindung nutupin kasus pencucian uang😂😂😂,['Denigration'],Yes,"['hahaha', 'lindung', 'tutup', 'kasus', 'cuci', 'uang']"
ajibnotonegoro,"Ganti aja judulnya ""bunga belaguu""",['Flaming'],Yes,"['ganti', 'saja', 'judul', 'bunga', 'bealgu']"
4sehat5sempurna___,Dih gk sudi woy,['Harassment'],Yes,"['dih', 'tidak', 'sudi', 'woi']"
gin_ar13,Kekecilan nga si kak,['Body Shaming'],Yes,"['kecil', 'tidak', 'sih', 'kak']"
myonwib,Lagu mu gak enak menurut saya🤣 GAK USAH BIKIN DAN CIPTAIN LAGU KLO GAK BOLEH DIDENGER SAMA ORANG!,['Harassment'],Yes,"['lagu', 'mu', 'tidak', 'enak', 'turut', 'saya', 'tidak', 'perlu', 'buat', 'dan', 'cipta', 'lagu', 'kalo', 'tidak', 'boleh', 'dengar', 'sama', 'orang']"
