username,text,dominant_label,binary_label,tokenized_comment
m_tin0781,Kayanya udah ada yg laporin ke bareskim Polri🙄 kasus bercadar🤔,['Neutral'],No,"['kaya', 'sudah', 'lapor', 'bareskrim', 'polri', 'cadar']"
shevaaaaoy,mudah & murah ontaa kalo tdak mencari info lebih dalam😂,['Neutral'],No,"['mudah', 'murah', 'onta', 'tidak', 'cari', 'info']"
chikalrstiiii,gk ke kejar itu mah,['Neutral'],No,"['tidak', 'kejar', 'mah']"
r_beeelll,Prilly cantiikk bgtttt OMG 🔥🔥🔥,['Neutral'],No,"['prilly', 'cantik', 'banget', 'ya', 'ampun']"
kemalwiraf_,lagunya ngerriiiiiiii sampe gak boleh di pake..😱😱😱,['Neutral'],No,"['lagu', 'ngerrii', 'tidak', 'pakai']"
al.yusrin,Coba pawokoe bantujuga masyarakat desakokoe,['Neutral'],No,"['coba', 'pawokoe', 'bantujuga', 'masyarakat', 'desakokoe']"
macaaabuns,Aduhhhhhhh puasss bener liat komen nyaaa 🔥🔥🔥🔥🔥🔥😭,['Neutral'],No,"['aduh', 'puass', 'lihat', 'komentar', 'nya']"
vikoyrabbani,"Bodo amat ah gw gak pikirin @raffinagita1717 mau cuci uang atau gak,yg gw pikirin gmna caranya gw bisa kerja di tempat dia karena sudah lama mengganggur nih 😁",['Neutral'],No,"['bodo', 'ah', 'tidak', 'pikir', 'cuci', 'uang', 'gakyg', 'pikir', 'sudah', 'anggur']"
indah__pratiwi11,Cipa sama ell vibes nya mahal bngt ya kak🤣,['Neutral'],No,"['cipa', 'el', 'vibes', 'milik', 'mahal', 'banget', 'ya', 'sis']"
tasyaasha21,Jauhlah ya kalo sama cipa mah 🤭,['Body Shaming'],Yes,"['jauh', 'ya', 'cipa', 'mah']"
secondunk,"gasudi telinga gua denger lagu lu,kon.",['Harassment'],Yes,"['gasudi', 'telinga', 'gua', 'dengar', 'lagu', 'lukon']"
martha_sheyla,Owh ini yg musisi lagunya ga boleh d pakai yaaa...hmmmm,['Denigration'],Yes,"['oh', 'musisi', 'lagu', 'tidak', 'yaahmm']"
anitanur.wulandari,Baru denger lagunya dan sumpah gak enak bgt didenger🤮,"['Flaming', 'Harassment']",Yes,"['dengar', 'lagu', 'sumpah', 'tidak', 'bagus', 'banget', 'daftar']"
queenshade9,"Woi!!!! Gara2 perbuatan lu, org lain kena imbas 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎",['Harassment'],Yes,"['woy', 'gara', 'buat', 'orang', 'kenal', 'dampak']"
dicky.prasetyo.315865,Ga mungkin kalo belom d e*e,"['Denigration', 'Harassment']",Yes,"['tidak', 'belum', 'eek']"
larasati5372,Udh puas blum jadi pelakor d hubungn orng!!! Skrng karier yg Lo banggain klo ga setara sma apa yg Lo perbuat ga ada apa2ny klo ga hancur ya kemakan sma apa yg lo perbuat bsok2 klo mw jadi pelakor jangan cuma gatel tpi harus lebih cantik dri pasangan asli mreka!,"['Denigration', 'Flaming']",Yes,"['sudah', 'puas', 'belum', 'pelakor', 'hubung', 'orang', 'karier', 'lo', 'bangga', 'kalo', 'tidak', 'tara', 'lo', 'buat', 'tidak', 'apa', 'kalo', 'tidak', 'hancur', 'ya', 'makan', 'lo', 'buat', 'besok', 'kalo', 'pelakor', 'gatel', 'cantik', 'pasang', 'asli']"
kopikitakita,"Panik gak tuh, di hujat se indonesia raya🤏🏻🙃",['Harassment'],Yes,"['panik', 'tidak', 'tuh', 'nista', 'indonesia', 'raya']"
teguhpen11,bang ciptai lagu judulnya gak sudi pasti trending🔥🔥🔥,['Neutral'],No,"['bang', 'cipta', 'lagu', 'judul', 'tidak', 'sudi', 'trending']"
abiell02,wahh indah banget itu pemandangan nya,['Neutral'],No,"['cantik', 'banget', 'pandang', 'milik']"
ct.2.10,❌ Komunitas scooter doang ✔️Multi talenta,['Neutral'],No,"['komunitas', 'skuter', 'doang', 'multi', 'bakat']"
seccplinz_,"Iblis itu penghuni surga pada awalnya. Kemudian dia di keluarkan dari surga hanya karena satu perkara yaitu ""SOMBONG""",['Flaming'],Yes,"['iblis', 'huni', 'surga', 'keluar', 'surga', 'sombong']"
septi_ess,"Dulu bb aku 50kg, gak pede dengan lengan tanganku yg gede lalu aku diet, bb jadi 42kg. Saking stressnya dengan gejolak hidup, 2 bulan yg lalu bb ku jadi 36kg, sekarang malah aku lagi berusaha gemukin dikit biar semok 😂",['Neutral'],No,"['bb', 'kg', 'tidak', 'percaya', 'lengan', 'tangan', 'diet', 'bb', 'kg', 'stress', 'gejolak', 'hidup', 'bb', 'ku', 'kg', 'tepat', 'usaha', 'gendut', 'biar', 'semok']"
mryupiid,"Singkatnya terus berkarya saja bung 🔥. Rangkum semua kalimat dan kata di kolom komentar ini jadi lirik, semangat. Hasil menanti semua perjuangan mu.",['Neutral'],No,"['singkat', 'karya', 'pria', 'ringkas', 'kalimat', 'kolom', 'komentar', 'lirik', 'roh', 'hasil', 'juang', 'milik']"
rizki.rhmdlla,"sitha makin gede aja, pantes aku ga kebagian😭😂",['Body Shaming'],Yes,"['sitha', 'tidak', 'bagi']"
salwaalwi539222022,Baju putih bawah zen.look rapi,['Neutral'],No,"['baju', 'putih', 'rendah', 'zenlook', 'rapi']"
im.disastterr,"Bisa2nya resky pindah ke sini, gua trawang trawang cantikan syifa dri segala sisi😂",['Body Shaming'],Yes,"['bisa', 'rizky', 'gerak', 'gua', 'trawang', 'trawang', 'cantik', 'syifa', 'samping']"
xztalia,Bekerja keraslah hingga lawanmu mengatakan money loundry👏,['Neutral'],No,"['keras', 'lawan', 'uang', 'cuci']"
shafiyyy57,Dosma lu ga niat ngerebut el lagi?,['Denigration'],Yes,"['dosma', 'tidak', 'niat', 'rebut', 'el']"
insan3426,Yaudah. Siap2 redup karir lu 😂,['Harassment'],Yes,"['yasudah', 'redup', 'karir']"
devannptra7,Enak bgt sayang ah,['Harassment'],Yes,"['bagus', 'banget', 'sayang', 'ah']"
yuliani83261,"Makasih yah udah dapatin ikyy, aku suka, krn syifa skrg ama el",['Neutral'],No,"['terima', 'kasih', 'ya', 'sudah', 'ikyy', 'suka', 'syifa', 'el']"
mastya09,Ya Allah ini karakter yg suka aku pakek di game 😭😍😂,['Neutral'],No,"['ya', 'allah', 'karakter', 'suka', 'pakai', 'main']"
daniifc99,Apa nih rame2 apa bener ya Raffi Ahmad pencucian uang bantu jawab donk❗❗❗❗,['Denigration'],Yes,"['ramu', 'ya', 'raffi', 'ahmad', 'cuci', 'uang', 'bantu']"
cemalcemil_netizen,"Oh jadi ini yang sering di omongin di kantor"" Ku sama para laki""",['Neutral'],No,"['oh', 'omong', 'kantor', 'ku', 'pria']"
rsk_nndila,Dua duanya udh muncul sifat aslinya yaa,['Denigration'],Yes,"['dua', 'sudah', 'muncul', 'ciri', 'asli', 'ya']"
leanardanapr,G A K S U D I,['Harassment'],Yes,"['tidak', 'a', 'si', 'i']"
ardesignkepanjen,Wkwkwkw unfollow Syifa hadju 😂,['Neutral'],No,"['wkwkwkw', 'henti', 'ikut', 'syifa', 'hadju']"
rani_damayanti08,ka priliy agak kurusan.,['Body Shaming'],Yes,"['kak', 'prilly', 'tepat', 'kurus']"
djoriet,cari aman lu fi raffi,['Denigration'],Yes,"['cari', 'aman', 'raffi']"
_listynadamay_,"Tetep cantik kok 😍 artis"" Korea badannya juga setipis tipis ituuuh 🔥",['Neutral'],No,"['cantik', 'artis', 'korea', 'badan', 'setip', 'tipis', 'ituuh']"
snowbrown_thebengalcat,"Makin diatas angin makin kenceng aja Bang ya. Smoga tetep kuat Bang @raffinagita1717 , tetep bermanfaat buat orang2 sekitar👏",['Neutral'],No,"['atas', 'angin', 'kencang', 'bang', 'ya', 'moga', 'kuat', 'bang', 'manfaat', 'orang']"
alif_indah,GERCEP BANGET LIKE NYA WKWK,['Neutral'],No,"['gercep', 'banget', 'suka', 'milik', 'wkwk']"
febrisetiayawan,Mulai dah pada nyiyir dah kayak paling bener tu idup,['Neutral'],No,"['selamat', 'tinggal', 'nyiyir', 'selamat', 'tinggal', 'suka', 'hidup']"
yuli_a0607,"Cocok semua yg main film, karna kenyataan nya nyata 😂😭",['Neutral'],No,"['cocok', 'main', 'film', 'nyata', 'milik', 'nyata']"
mas.nunuk,Tetep cakep kalo ini mah,['Neutral'],No,"['cakep', 'mah']"
mamaharkhanovic,🤣🤣ketika lari ada yg lebih mudah kenapa harus dipersulit.. Tunggu ditempat tujuan,['Neutral'],No,"['lari', 'mudah', 'sulit', 'tunggu', 'tempat', 'tuju']"
ayuuu9.7,Amit amit laki2 model gini 👎 mikir dongg lo itu laki2 badan lo aja kekar kaya kuli sadarrrrrrr,"['Body Shaming', 'Flaming']",Yes,"['amit', 'amit', 'pria', 'model', 'mikir', 'lo', 'pria', 'tubuh', 'lo', 'kekar', 'kaya', 'kuli', 'sadar']"
nagita.fc,"walaupun merem, tetep cantik kok mba😂😂",['Neutral'],No,"['rem', 'cantik', 'mbak']"
rita130303,Bangga lokal kalau Nagita aja senengnya pake brand luar asal aneh nya 😂,['Denigration'],Yes,"['bangga', 'lokal', 'nagita', 'neng', 'pakai', 'merek', 'aneh', 'milik']"
mr.wenii,"Hahahahah masa iyeh kerja pagi ketemu pagi pencucian uang,",['Neutral'],No,"['haha', 'iya', 'pagi', 'temu', 'pagi', 'cuci', 'uang']"
wulandarichristy,Kl nyci uang pke detergen merk apa pak?,['Denigration'],Yes,"['kalo', 'cuci', 'uang', 'pakai', 'deterjen', 'merk', 'emas']"
lordnaldo7,@bastiansteel beruntung banget lu bas,['Neutral'],No,"['untung', 'banget', 'bas']"
amelianipr,Kamu inpirasi ku untuk turunin bb aww,['Neutral'],No,"['inspirasi', 'ku', 'turun', 'bb', 'aw']"
anjaswraa,🤣 seniman papan bawah aja blagunya setengah modar,['Flaming'],Yes,"['artis', 'papan', 'rendah', 'blaglies', 'modar']"
sebayu_666,Ini kostum Halloween? Ga ada serem2nya perasaan 😭,['Neutral'],No,"['kostum', 'halloween', 'tidak', 'rem', 'asa']"
sunk_chu_dak,Biar Orang Pajak Gk audit.. cr aman..😢,['Neutral'],No,"['biar', 'orang', 'pajak', 'tidak', 'audit', 'aman']"
tidak_baik08,Baru 1 lagu lho mas……..😭,['Neutral'],No,"['lagu', 'loh', 'mas']"
mujimin799,Hii miss greetings l my Levo,['Neutral'],No,"['hi', 'kangen', 'salam', 'l', 'levo']"
luqmanpuji,Orang klo baru naek udah sombong amat pasti jatohnya juga cepet,['Harassment'],Yes,"['orang', 'kalo', 'sudah', 'sombong', 'musim', 'gugur', 'cepat']"
lucy_lucunya,Money laundry lg bertugas,['Denigration'],Yes,"['uang', 'cuci', 'tugas']"
mizziaa_,aaa bodynya koreaa bngt luuppp🫶🏻😭❤️❤️,['Neutral'],No,"['a', 'a', 'tubuh', 'korea', 'banget', 'luupp']"
gellajoni,Oh LGI rame nih money laundry,['Denigration'],Yes,"['oh', 'ramu', 'uang', 'cuci']"
rizki_qi,Ninggalin jejak… 😂 biar bisa baca2 komen,['Neutral'],No,"['tinggal', 'langkah', 'kaki', 'biar', 'baca', 'komentar']"
apriel_yasmin,"blunder fatal, mendingan denger lagu ebit g ade",['Flaming'],Yes,"['salah', 'ceroboh', 'fatal', 'mending', 'dengar', 'lagu', 'ebit', 'tidak', 'adek']"
ajisptrhrjo_,buset dah lucu amat video nya beb @anik_satria 😍,['Neutral'],No,"['bucking', 'selamat', 'tinggal', 'lucu', 'video', 'milik', 'beban']"
mager_4ja,"cosplay nami,robin atau boa hancock onepiece dong",['Neutral'],No,"['main', 'kostum', 'namirobin', 'boa', 'hancock', 'onepiece']"
dea.475,Pril jangan terlalu kurus krna km punya wajah panjang JD agak aneh kalo terlalu kurus,['Body Shaming'],Yes,"['pril', 'kurus', 'hadap', 'tepat', 'aneh', 'kurus']"
novie966,Knp kurus bgt skrng😭,['Body Shaming'],Yes,"['kurus', 'banget']"
nhur_syafitri96,Perang dunia sinetron cocok dgn dunia nyata jadi selingkuhan😂,['Denigration'],Yes,"['perang', 'dunia', 'opera', 'sabun', 'cocok', 'dunia', 'nyata', 'selingkuh']"
dedik_kur,"wkwkkw baru 1 lagu naik, udah ngerasa kayak Nirvana lu bang bang",['Denigration'],Yes,"['wkwkkw', 'lagu', 'sudah', 'suka', 'nirwana', 'bang', 'bang']"
megmegvia,"Ka Prilly,you inspired me to have a body like you😭🔥❤️",['Neutral'],No,"['kak', 'prilly', 'inspirasi', 'milik', 'a', 'tubuh', 'suka']"
oajayyyyy,gacorr bat si gilss,['Neutral'],No,"['gacor', 'banget', 'si', 'gila']"
dimas_rizqy,Cocok lu bang dpt award musisi TERKOCAK.. Baru tenar tpi uda arogan.. 🤣,['Flaming'],Yes,"['cocok', 'bang', 'hadiah', 'musisi', 'kocak', 'kenal', 'sudah', 'arogan']"
damarmurti,"Bisa-bisanya seniman musik, pilih pilih pendengar sampai berkata tidak Sudi, jika lagu anda tidak ingin didengar oranglain jangan dipublish dan stop jadi penyanyi, sangat tidak pantas seorang penyanyi berkomentar kepada pendengarnya seperti itu, saya juga jadi tidak Sudi telinga saya mendengarkan lagu anda.",['Harassment'],Yes,"['artis', 'musik', 'pilih', 'pilih', 'dengar', 'tidak', 'sudi', 'lagu', 'tidak', 'dengar', 'orang', 'publikasi', 'henti', 'nyanyi', 'tidak', 'sesuai', 'nyanyi', 'komentar', 'dengar', 'suka', 'tidak', 'sudi', 'telinga', 'dengar', 'lagu']"
tataoktaa_,maaf mbak anya pake cawet ga🙏🏻,['Harassment'],Yes,"['maaf', 'kak', 'anya', 'pakai', 'cawet', 'tidak']"
aahmadbaiquni,Wow!! Sexy!! Salam kenal ya!!,['Neutral'],No,"['wow', 'seksi', 'salam', 'ya']"
dede_anggraenird,Lagu lu masi aman bang?wkwk,['Neutral'],No,"['lagu', 'aman', 'bangwkwk']"
reniasitohang,Mending dengerin lagu koplo aja lahhh,['Harassment'],Yes,"['dengar', 'lagu', 'koplo']"
jasa_komentar_indonesia,Untuk teman-teman yang liat dan like komenan ini dilancarkan terus usahanya dan di berikan rizki yang melimpah...amiiiin,['Neutral'],No,"['teman', 'lihat', 'suka', 'komentar', 'lancar', 'usaha', 'rizki', 'melimpahamiin']"
mesptn12,Kesini cuman mau bilang lu siapa ko gw baru tau,['Neutral'],No,"['kesini', 'bilang']"
lilosigit,@wawan.93 @serwinpratama @zai_zema24 @meeengssss @robby78__,['Neutral'],No,[]
hf.ran_,Jdi kang cilok aja mas,['Harassment'],Yes,"['kang', 'cilok', 'mas']"
delanareno12345,Woow lg heboh nih ada artis papan atas yg rajin nyuci .. nyuci uang katanay 😂,['Denigration'],Yes,"['wow', 'heboh', 'artis', 'papan', 'rajin', 'cuci', 'cuci', 'uang', 'katanay']"
januarparadita21pwt,Elah anak kemarin sore lagaknya kek tae pfftt,['Flaming'],Yes,"['elah', 'anak', 'kemarin', 'sore', 'lagak', 'kayak', 'tae', 'pfftt']"
astika_febriyanti22,kalo gada lagu lo yg terkenal juga org org pada gatau siapa lo,['Harassment'],Yes,"['tidak', 'lagu', 'lo', 'kenal', 'orang', 'orang', 'gatau', 'lo']"
eviatmi_amsari,"Bikin lagu ‘’ Ga Sudi’’ dong wkwk biar yg denger lagu lu ga pada sudi buat dengerinnya bang lu baru netes di industri musik jgn belagu jgn angkuh yg lu senggol orangnya lagi hamil , sekelas Judika aja ga pernah tuh angkuh kaya lo",['Flaming'],Yes,"['lagu', 'tidak', 'sudi', 'wkwk', 'biar', 'dengar', 'lagu', 'tidak', 'sudi', 'dengar', 'bang', 'tetes', 'industri', 'musik', 'belagu', 'angkuh', 'senggol', 'orang', 'hamil', 'kelas', 'judika', 'tidak', 'tuh', 'angkuh', 'kaya', 'lo']"
cagitatittan23,Oh disini ga ditutup ya komenannya kek di tiktok wkwk 🤣,['Neutral'],No,"['oh', 'tidak', 'tutup', 'ya', 'komentar', 'kayak', 'tiktok', 'wkwk']"
lailie_ns,"Lu tau ga si lu tu kodratnya cowo, ngapain pake cadar segala secara langsung lu ninstain agama Islam astaghfirullah pikiran lu dimana si di diemin malah ngelunjak","['Flaming', 'Harassment']",Yes,"['tidak', 'si', 'kodrat', 'cowok', 'kapai', 'pakai', 'kerudung', 'langsung', 'ninstain', 'agama', 'islam', 'astaghfirullah', 'pikir', 'mana', 'si', 'diam', 'tepat', 'ngelunjak']"
bubblegirlll__,CANTIKKKK BANGETTTT LOHHH KAAAA❤️❤️❤️,['Neutral'],No,"['cantik', 'banget', 'loh', 'kak']"
midnightcries.wb,"gue yang awalnya bener2 team Rizky Cipa trs liat berita2 yang beredar ternyata ada kaitannya sm lo, gue langsung shock dan gue kecewa bgt asli! kenapa si hrs merusak hubungan pasangan favorite gue😭",['Denigration'],Yes,"['tim', 'rizky', 'cipa', 'lihat', 'berita', 'edar', 'kait', 'lo', 'langsung', 'kejut', 'kecewa', 'banget', 'asli', 'si', 'rusak', 'hubung', 'pasang', 'favorit']"
sam_dims,Pengen banget mantep mancing mania sama prilly,['Neutral'],No,"['banget', 'mantap', 'tangkap', 'ikan', 'mania', 'prilly']"
sandroelkhaira,Mau komen takut ketauan 😢,['Neutral'],No,"['komentar', 'takut', 'tau']"
legaws,Baru tau lagunya pas di posting erina & kaesang gimna dong ...,['Neutral'],No,"['lagu', 'kanan', 'posting', 'erina', 'kaesang']"
rapma_siburiann,Kalo kata novel sih ini perwujudan dewi yunani,['Neutral'],No,"['novel', 'sih', 'wujud', 'dewi', 'yunani']"
enyoollovv,Beneran nih Raffi penampung pencucian uang? Wahh parah sih kalo bener.,['Denigration'],Yes,"['benar', 'raffi', 'tampung', 'cuci', 'uang', 'kritis', 'sih']"
niluputuhutagalung,Pake sempak ga sihh 🙄,['Harassment'],Yes,"['pakai', 'celana', 'tidak', 'sih']"
sszwithhflowerrz,tuaaa amattt muka nya,['Body Shaming'],Yes,"['tuaa', 'maju', 'milik']"
akbaryr99,😂😂 saya kenal ya pakde,['Neutral'],No,"['ya', 'pakde']"
virrda27,hahah berarti aku triplek 😭😭,['Body Shaming'],Yes,"['hahah', 'triplek']"
pradiptayogaa,Kumpul sma penista agama ? Isin ah,"['Denigration', 'Flaming']",Yes,"['kumpul', 'nista', 'agama', 'malu', 'ah']"
diieegulga21,Mau komen tapi takut ketauan doi pless ya jgn di-like😂😂,['Neutral'],No,"['komentar', 'takut', 'tau', 'doi', 'pless', 'ya', 'suka']"
auliansistari,"Kmren berita salsa selingkuh sm rizkyy cpt banget klarifikasi, giliran dia di gosipin diemm baeee kyk tikus jatuh ke beras🤣",['Denigration'],Yes,"['kemarin', 'berita', 'salsa', 'selingkuh', 'rizky', 'cepat', 'banget', 'klarifikasi', 'gilir', 'gosip', 'diam', 'baee', 'kayak', 'tikus', 'jatuh', 'beras']"
fit.tri.a,"Gila ya yang ngebully Sitha tuh kebanyakan cewek anjir. Ga nyangka gueee, sukses deh buat lu pade ye👍🏻",['Neutral'],No,"['gila', 'ya', 'intimidasi', 'sitha', 'tuh', 'banyak', 'gadis', 'anjir', 'tidak', 'sangka', 'guee', 'sukses', 'deh']"
ameliaanjanni,Begitu aja cantik ya🤭,['Neutral'],No,"['cantik', 'ya']"
sagitarozashr,"Mba gigi ayo ngamuk, bisa2 blm ready dipost 😭😭",['Neutral'],No,"['mbak', 'gigi', 'ayo', 'amuk', 'belum', 'diposting']"
bankb_ull,Awas ada tukang baso dpn rumah,['Neutral'],No,"['hati', 'tukang', 'baso', 'rumah']"
eghyaudri,Mungkin Rizky nazar lebih suka yg brekelee🙏,['Body Shaming'],Yes,"['rizky', 'nazar', 'suka', 'brekelee']"
veeyrrabae,"Peran namira di bawah kedunia nyata kejar kak denis sampai dapat,...si rizky juga sampai oleng ningali cipa demi si dosma",['Denigration'],Yes,"['peran', 'namira', 'rendah', 'dunia', 'nyata', 'kejar', 'sis', 'den', 'rizky', 'goyah', 'ningali', 'cipa', 'si', 'dosma']"
